,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ミカタ,,,,,ファースト,,,,,ノイエ,,,,,ケンブリ,,,,,カンゲン,,,,,オクパ,,,,,アイエグ,,,,,エメタ,,,,,エンキャピ,,,,,ニシクラ,,,,,インフレ,,,,,デジノマ,,,,
,,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda
2025年4月,入社数,3,1,2,,,1,2,,1,,3,2,1,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次単価,"166,666","79,166","160,000","456,250","241,666","166,666","79,166","160,000","358,333","241,666","166,666","79,166","160,000","341,666","241,666","166,666","79,166","160,000","382,916","241,666","166,666","79,166","160,000","320,833","241,666","166,666","79,166","187,500","455,833","241,666","166,666","83,333","187,500","554,166","241,666","166,666","83,333","187,500","554,166","241,666","166,666","83,333","187,500","425,000","241,666","166,666","83,333",,,,"166,666","83,333",,,,"166,666",,,,
,採用単価,"55,555","79,166","80,000",,,"166,666","39,583",,"358,333",,"55,555","39,583","160,000",,,"166,666",,,"382,916","241,666","166,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025年5月,,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda
,入社数,1,,2,2,,2,,4,,,2,,1,2,,,1,,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月次単価,"166,666","79,166","160,000","456,250","241,666","166,666","79,166","160,000","358,333","241,666","166,666","79,166","160,000","341,666","241,666","166,666","79,166","160,000","382,916","241,666","166,666","79,166","160,000","320,833","241,666","166,666","79,166","187,500","455,833","241,666","166,666","83,333","187,500","554,166","241,666","166,666","83,333","187,500","554,166","241,666","166,666","83,333","187,500","425,000","241,666","166,666","83,333",,,,"166,666","83,333",,,,"166,666",,,,
,採用単価,"166,666",,"80,000","228,125",,"83,333",,"40,000",,"241,666","83,333",,"160,000","170,833",,,"79,166",,"382,916",,"83,333",,"80,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025年6月,,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda,エン,エンダイ,マイナビ,type,doda
