,,,2024/7,2024/8,2024/9,2024/10,2024/11,2024/12,2025/1,2025/2,2025/3,2025/4,2025/5,2025/6,2025/7,2025/8,2025/9
,各実績数値,内定承諾数,16,8,12,17,27,18,25,50,52,70,60,36,84,,
,,入社数(当月),16,6,6,14,12,5,25,17,15,26,28,28,43,,
,,入社数(2ヶ月後の情報を表示),6,14,12,5,25,17,15,26,28,28,43,,,,
,人件費＋媒体費用＋その他費用,合計金額,"¥8,218,176","¥8,262,711","¥7,998,818","¥8,039,464","¥8,940,216","¥9,764,551","¥10,968,686","¥12,148,470","¥13,090,613","¥15,390,460","¥18,178,446","¥24,795,366","¥25,655,424",,
,,内定承諾単価,"¥513,636","¥1,032,839","¥666,568","¥472,910","¥331,119","¥542,475","¥438,747","¥242,969","¥251,743","¥219,864","¥302,974","¥688,760","¥305,422",,
,,採用単価(当月),"¥513,636","¥1,377,118","¥1,333,136","¥574,247","¥745,018","¥1,952,910","¥438,747","¥714,616","¥872,708","¥591,941","¥649,230","¥885,549","¥596,638",,
,,採用単価(2ヶ月後入社仮定),"¥1,369,696","¥590,194","¥666,568","¥1,607,893","¥357,609","¥574,385","¥731,246","¥467,249","¥467,522","¥549,659","¥422,755",,,,
,媒体費用＋その他費用,合計金額,"¥4,745,175","¥4,789,711","¥4,525,818","¥4,566,464","¥4,685,216","¥4,742,884","¥5,556,019","¥5,578,137","¥6,520,280","¥7,647,126","¥8,901,779","¥13,954,699","¥14,814,758",,
,,内定承諾単価,"¥296,573","¥598,714","¥377,151","¥268,616","¥173,527","¥263,494","¥222,241","¥111,563","¥125,390","¥109,245","¥148,363","¥387,631","¥176,366",,
,,採用単価(当月),"¥296,573","¥798,285","¥754,303","¥326,176","¥390,435","¥948,577","¥222,241","¥328,126","¥434,685","¥294,120","¥317,921","¥498,382","¥344,529",,
,,採用単価(2ヶ月後入社仮定),"¥790,862","¥342,122","¥377,151","¥913,293","¥187,409","¥278,993","¥370,401","¥214,544","¥232,867","¥273,112","¥207,018",,,,
,媒体費用のみ,合計金額,"¥2,745,175","¥2,789,711","¥2,525,818","¥2,566,464","¥2,685,216","¥2,742,884","¥3,556,019","¥3,578,137","¥4,520,280","¥5,647,126","¥6,901,779","¥11,954,699","¥12,814,758",,
,,内定承諾単価,"¥171,573","¥348,714","¥210,485","¥150,968","¥99,452","¥152,382","¥142,241","¥71,563","¥86,928","¥80,673","¥115,030","¥332,075","¥152,557",,
,,採用単価(当月),"¥171,573","¥464,952","¥420,970","¥183,319","¥223,768","¥548,577","¥142,241","¥210,479","¥301,352","¥217,197","¥246,492","¥426,954","¥298,018",,
,,採用単価(2ヶ月後入社仮定),"¥457,529","¥199,265","¥210,485","¥513,293","¥107,409","¥161,346","¥237,068","¥137,621","¥161,439","¥201,683","¥160,506",,,,
,,,,,,,,,,,,,,,,,
人件費,,合計金額,"¥3,473,001","¥3,473,000","¥3,473,000","¥3,473,000","¥4,255,000","¥5,021,667","¥5,412,667","¥6,570,333","¥6,570,333","¥7,743,333","¥9,276,667","¥10,840,667","¥10,840,667",,
,子会社代表,人数,3,3,3,3,3,4,4,5,5,5,7,7,7,,
,,人件費,"¥666,667","¥666,667","¥666,667","¥666,667","¥666,667","¥666,667","¥666,667","¥666,667","¥666,667","¥666,667","¥666,667","¥666,667","¥666,667",,
,,合計金額,"¥2,000,001","¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000","¥2,666,667","¥2,666,667","¥3,333,333","¥3,333,333","¥3,333,333","¥4,666,667","¥4,666,667","¥4,666,667",,
,,合計金額×1.15(法定福利費),"¥2,300,001","¥2,300,000","¥2,300,000","¥2,300,000","¥2,300,000","¥3,066,667","¥3,066,667","¥3,833,333","¥3,833,333","¥3,833,333","¥5,366,667","¥5,366,667","¥5,366,667",,
,PM,人数,3,3,3,3,5,5,6,7,7,10,10,14,14,,
,,人件費,"¥340,000","¥340,000","¥340,000","¥340,000","¥340,000","¥340,000","¥340,000","¥340,000","¥340,000","¥340,000","¥340,000","¥340,000","¥340,000",,
,,合計金額,"¥1,020,000","¥1,020,000","¥1,020,000","¥1,020,000","¥1,700,000","¥1,700,000","¥2,040,000","¥2,380,000","¥2,380,000","¥3,400,000","¥3,400,000","¥4,760,000","¥4,760,000",,
,,合計金額×1.15(法定福利費),"¥1,173,000","¥1,173,000","¥1,173,000","¥1,173,000","¥1,955,000","¥1,955,000","¥2,346,000","¥2,737,000","¥2,737,000","¥3,910,000","¥3,910,000","¥5,474,000","¥5,474,000",,
媒体費用,,合計金額,"¥2,745,175","¥2,789,711","¥2,525,818","¥2,566,464","¥2,685,216","¥2,742,884","¥3,556,019","¥3,578,137","¥4,520,280","¥5,647,126","¥6,901,779","¥11,954,699","¥12,814,758",,
,エン転職,,"¥1,052,800","¥1,228,200","¥746,200","¥736,400","¥746,200","¥732,096","¥738,048","¥666,624","¥738,048","¥988,032","¥1,208,256","¥1,517,760","¥1,660,608",,
,エンダイレクト,,"¥257,296","¥257,296","¥257,296","¥257,296","¥257,297","¥199,237","¥193,099","¥241,642","¥413,536","¥511,837","¥683,603","¥764,882","¥802,683",,
,エンゲージ,,"¥207,400","¥56,000",¥0,¥0,"¥102,000","¥88,400","¥105,400",¥0,¥0,¥0,¥0,¥0,¥0,,
,doda,,¥0,¥0,¥0,¥0,¥0,¥0,"¥433,332","¥433,332","¥541,665","¥758,331","¥974,997","¥4,574,997","¥4,574,997",,
,マイナビ,,"¥812,500","¥812,500","¥812,500","¥812,500","¥812,500","¥812,500","¥1,062,500","¥1,287,500","¥1,627,500","¥1,858,500","¥1,861,500","¥2,317,000","¥2,549,000",,
,type,,"¥415,179","¥435,714","¥709,822","¥760,268","¥767,219","¥910,651","¥1,023,640","¥949,039","¥1,199,531","¥1,530,426","¥2,173,423","¥2,780,060","¥3,227,470",,
その他の費用,その他固定費,,"¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000","¥2,000,000",,
,,,,,,,,,,,,,,,,,
エン転職,,,,,,,,,,,,,,,,,
総消費額,,,"¥1,052,800","¥1,228,200","¥746,200","¥736,400","¥746,200","¥732,096","¥738,048","¥666,624","¥738,048","¥988,032","¥1,208,256","¥1,517,760","¥1,660,608",,
エンジニアのミカタ,,,"¥619,400","¥619,400","¥333,800","¥127,600","¥333,800","¥184,512","¥184,512","¥166,656","¥184,512","¥178,560","¥184,512","¥178,560","¥184,512",,
エンジニアファースト,,,"¥129,000","¥304,400","¥117,800","¥304,400","¥117,800","¥184,512","¥184,512","¥166,656","¥184,512","¥178,560","¥184,512","¥178,560","¥184,512",,
Neuealle,,,"¥304,400","¥304,400","¥294,600","¥304,400","¥294,600","¥184,512","¥184,512","¥166,656","¥184,512","¥178,560","¥184,512","¥178,560","¥184,512",,
ケンブリッジ・コンサルティング,,,,,,,,"¥178,560","¥184,512","¥166,656","¥184,512","¥178,560","¥184,512","¥178,560","¥184,512",,
カンゲンエージェント,,,,,,,,,,,,"¥130,944","¥184,512","¥178,560","¥184,512",,
オックスフォードパートナーズ,,,,,,,,,,,,"¥142,848","¥184,512","¥178,560","¥184,512",,
AIメタバース,,,,,,,,,,,,,,"¥113,088","¥184,512",,
ITエグゼクティブ,,,,,,,,,,,,,"¥101,184","¥178,560","¥184,512",,
エンジニアキャピタル,,,,,,,,,,,,,,"¥154,752","¥184,512",,
西日本クラウド,,,,,,,,,,,,,,,,,
インフレーション,,,,,,,,,,,,,,,,,
デジタルノマド,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
エンダイレクト,,,,,,,,,,,,,,,,,
総消費額,,,"¥257,296","¥257,296","¥257,296","¥257,296","¥257,297","¥199,237","¥193,099","¥241,642","¥413,536","¥511,837","¥683,603","¥764,882","¥802,683",,
エンジニアのミカタ,,,"¥116,667","¥116,667","¥116,667","¥116,667","¥116,667","¥87,637","¥84,568","¥79,156","¥87,637","¥84,810","¥87,637","¥84,810","¥87,637",,
エンジニアファースト,,,"¥116,667","¥116,667","¥116,667","¥116,667","¥116,667","¥87,637","¥84,568","¥79,156","¥87,637","¥84,810","¥87,637","¥84,810","¥87,637",,
Neuealle,,,"¥23,963","¥23,963","¥23,963","¥23,963","¥23,963","¥23,963","¥23,963","¥23,963","¥79,950","¥84,810","¥87,637","¥84,810","¥87,637",,
ケンブリッジ・コンサルティング,,,,,,,,,,"¥59,367","¥87,637","¥84,810","¥87,637","¥84,810","¥87,637",,
カンゲンエージェント,,,,,,,,,,,"¥67,848","¥84,810","¥87,637","¥84,810","¥87,637",,
オックスフォードパートナーズ,,,,,,,,,,,"¥2,827","¥84,810","¥87,637","¥84,810","¥87,637",,
AIメタバース,,,,,,,,,,,,"¥2,977","¥92,287","¥89,310","¥92,287",,
ITエグゼクティブ,,,,,,,,,,,,,"¥65,494","¥89,310","¥92,287",,
エンジニアキャピタル,,,,,,,,,,,,,,"¥77,402","¥92,287",,
西日本クラウド,,,,,,,,,,,,,,,,,
インフレーション,,,,,,,,,,,,,,,,,
デジタルノマド,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
エンゲージ,,,,,,,,,,,,,,,,,
