,グラフのタイトル,グラフに含まれるデータ,データの定義,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04,2025/05,2025/06,2025/07,2025/08,2025/09
,エンジニア経験者採用指標の推移,エンジニア総応募数,子会社も含めた全社での数値。,260,313,357,516,353,440,490,474,462,425,465
,,エンジニア面談設定数,子会社も含めた全社での数値。,259,301,323,502,331,403,453,440,435,405,418
,,エンジニア面談実施数,子会社も含めた全社での数値。,180,189,230,378,248,323,329,307,317,308,318
,,エンジニア内定数,子会社も含めた全社での数値。,108,100,95,131,83,128,154,150,123,116,135
,,エンジニア内定承諾数,子会社も含めた全社での数値。,45,49,43,70,32,47,72,88,46,43,55
,,,,,,,,,,,,,,
,採用部費用の内訳,採用部人件費,子会社も含めた全社での数値。,"3,540,185","4,704,279","5,284,574","7,023,697","5,707,298","9,099,719","10,736,507","12,025,249","12,724,658","14,089,190","17,038,585"
,,採用媒体費,"採用媒体費 = 採用媒体からの入社数 × 一人当たり採用費用
子会社も含めた全社での数値。

※個々別に採用媒体等フィーが違うため留意
「媒体継続申請フォーマット_shared」参照","4,553,150","7,267,474","5,155,330","9,932,225","6,211,058","3,662,505","7,586,382","7,198,083","23,263,905","16,028,584","12,710,182"
,,非採用媒体費,"非採用媒体費 = 非採用媒体からの入社数 × 一人当たり採用費用
子会社も含めた全社での数値。

※個々別に採用媒体等フィーが違うため留意",,,,,,,,,,,
,,採用部交際費,"採用部の会食、打合せ費用。
子会社も含めた全社での数値。",0,0,0,0,0,0,"171,071","58,538",0,0,"21,730"
,,採用部交通費,"採用部の旅費/交通費。
子会社も含めた全社での数値。",0,"34,071","18,449","59,297","112,337","296,653","200,588","187,797","256,459","406,966","325,661"
,,採用部費用,"採用部費用 = 採用部人件費 + 採用媒体費 + 非媒体採用費 + 採用部交際費 + 採用部交通費
子会社も含めた全社での数値。","8,129,455","12,403,022","10,687,234","17,626,364","12,172,705","13,099,119","18,797,714","19,604,000","36,353,372","30,660,343","30,134,750"
