9,,,,,,,,,,,,,,,,,,,,,,,
,,参考数値,10月以降は昇給可能性を加味,,,入社係数,合計で0.7(3割は辞退),,媒体係数,※設立1か月目は媒体1つ,,,,,,,,,,,,,
,,法定福利率,,1.15,,当月入社,0.1,,1社4媒体フル,"¥1,100,000",,"9月より
・マイナビの未経験求人3社分追加
・Dodaがワークしていない媒体費用はカット
その分を各媒体欄に金額を記載",,,,,,,,,,,
,,6月~10月　リーダー人件費,,666667,,翌月入社,0.15,,1社1媒体,"¥300,000",,,,,,,,,,,,,
,,6月~10月　PMなど人件費,,340000,,翌々月入社,0.25,,,,,,,,,,,,,,,,
,,11月~4月　リーダー人件費,,750000,,翌翌々月入社,0.2,,,, ,,,,,,,,,,,,
,,11月~4月　PMなど人件費,,370000,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,2025/06/01(実績値),,2025/7,,2025/8,,2025/9,,2025/10,,2025/11,,2025/12,,2026/1,,2026/2,,2026/3,,2026/4,
,,子会社数,9,子会社数,9,子会社数,11,子会社数,11,子会社数,12,子会社数,14,子会社数,14,子会社数,12,子会社数,12,子会社数,12,子会社数,12
,,金額,人数,金額,人数,金額,人数,金額,人数,金額,人数,金額,人数,金額,人数,金額,人数,金額,人数,金額,人数,金額,人数
,人件費総額,"¥10,449,669",,"¥10,449,669",,"¥11,592,003",,"¥15,103,337",,"¥15,486,671",,"¥15,628,500",,"¥16,790,000",,"¥18,756,500",,"¥16,790,000",,"¥16,790,000",,"¥16,790,000",
,リーダー人件費,"¥5,366,669",7,"¥5,366,669",7,"¥6,900,003",9,"¥7,283,337",9.5,"¥7,666,671",10,"¥9,487,500",11,"¥8,625,000",10,"¥12,937,500",15,"¥8,625,000",10,"¥8,625,000",10,"¥8,625,000",10
,各社付PM,"¥2,737,000",7,"¥2,737,000",7,"¥2,346,000",6,"¥3,910,000",10,"¥3,910,000",10,"¥3,404,000",8,"¥4,255,000",10,"¥4,255,000",10,"¥4,255,000",10,"¥4,255,000",10,"¥4,255,000",10
,未経験採用担当,"¥782,000",2,"¥782,000",2,"¥782,000",2,"¥782,000",2,"¥782,000",2,"¥1,173,000",3,"¥782,000",2,"¥1,173,000",3,"¥782,000",2,"¥782,000",2,"¥782,000",2
,全体補佐,"¥782,000",2,"¥782,000",2,"¥782,000",2,"¥1,564,000",4,"¥1,564,000",4,"¥391,000",1,"¥1,564,000",4,"¥391,000",1,"¥1,564,000",4,"¥1,564,000",4,"¥1,564,000",4
,DX担当,"¥782,000",2,"¥782,000",2,"¥782,000",2,"¥1,564,000",4,"¥1,564,000",4,"¥1,173,000",3,"¥1,564,000",4,¥0,,"¥1,564,000",4,"¥1,564,000",4,"¥1,564,000",4
,媒体費用総額,"¥9,900,000",,"¥9,900,000",,"¥12,100,000",,"¥12,100,000",,"¥13,200,000",,"¥15,400,000",,"¥18,750,000",,"¥13,200,000",,"¥13,200,000",,"¥13,200,000",,"¥13,200,000",
,エン転職,"¥1,997,809",,,,,,,,,,,,,,,,,,,,,
,マイナビ,"¥2,699,755",,,,,,,,,,,,,,,,,,,,,
,type,"¥2,427,158",,,,,,,,,,,,,,,,,,,,,
,エンダイレクト,"¥896,755",,,,,,,,,,,,,,,,,,,,,
,doda,"¥982,992",,,,,,,,,,,,,,,,,,,,,
,Green,,,,,,,,,,,,,"¥3,000,000",,,,,,,,,
,Wantedlly,,,,,,,,,,,,,"¥350,000",,,,,,,,,
,日経転職,,,,,,,,,,,,,,,,,,,,,,
,その他費用,"¥2,685,373",,"¥2,412,010",,"¥2,793,568",,"¥2,793,568",,"¥2,869,347",,"¥2,220,904",,"¥2,220,904",,"¥1,969,347",,"¥1,969,347",,"¥1,969,347",,"¥1,969,347",
,会食費用,"¥633,363",,"¥360,000",,"¥440,000",,"¥440,000",,"¥480,000",,"¥560,000",,"¥560,000",,"¥480,000",,"¥480,000",,"¥480,000",,"¥480,000",
,入社祝い金,"¥30,000",,"¥30,000",,"¥60,000",,"¥60,000",,"¥60,000",,"¥60,000",,"¥60,000",,"¥60,000",,"¥60,000",,"¥60,000",,"¥60,000",
,リファラル,"¥200,000",,"¥200,000",,"¥400,000",,"¥400,000",,"¥400,000",,"¥400,000",,"¥400,000",,"¥400,000",,"¥400,000",,"¥400,000",,"¥400,000",
,スカウト経費,"¥1,500,000",,"¥1,500,000",,"¥1,500,000",,"¥1,500,000",,"¥1,500,000",,"¥700,000",,"¥700,000",,"¥600,000",,"¥600,000",,"¥600,000",,"¥600,000",
,雑費,"¥322,010",,"¥322,010",,"¥393,568",,"¥393,568",,"¥429,347",,"¥500,904",,"¥500,904",,"¥429,347",,"¥429,347",,"¥429,347",,"¥429,347",
,総額,"¥23,035,042",,"¥22,761,679",,"¥26,485,571",,"¥29,996,905",,"¥31,556,017",,"¥33,249,404",,"¥37,760,904",,"¥33,925,847",,"¥31,959,347",,"¥31,959,347",,"¥31,959,347",
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,入社数,29,入社数,40,入社数,26,入社数,55,入社数,87,入社数,109,入社数,123,入社数,133,入社数,143,入社数,152,入社数,165
5月内定承諾者数,,内定承諾者数,6,内定承諾者数,80,内定承諾者数,120,内定承諾者数,160,内定承諾者数,170,内定承諾者数,190,内定承諾者数,200,内定承諾者数,210,内定承諾者数,230,内定承諾者数,250,内定承諾者数,280
