セクション名,動画番号,動画URL,動画タイトル,タングル名
﻿A little heart ステップアウト１、２,1,https://www.youtube.com/watch?v=R6JPbQKLcWE,ゼンタングル®︎タングル・エンゼッペル,エンゼッペル
﻿A little heart ステップアウト１、２,2,https://www.youtube.com/watch?v=CBnIeA7vw_A,ゼンタングル®︎タングル・レイン,レイン
﻿A little heart ステップアウト１、２,3,https://www.youtube.com/watch?v=dStgPsncAL8,ゼンタングル®︎タングル・イング,イング
﻿A little heart ステップアウト１、２,4,https://www.youtube.com/watch?v=iPg3vKHu4pg,ゼンタングル®︎タングル・スポークン,スポークン
﻿A little heart ステップアウト１、２,5,https://www.youtube.com/watch?v=FJ8x7mkpY_M,ゼンタングル®︎タングル・プランタン,プランタン
﻿A little heart ステップアウト１、２,6,https://www.youtube.com/watch?v=4MIntv9ortw,ゼンタングル®︎タングル・ビトゥルビウス,ビトゥルビウス
﻿A little heart ステップアウト１、２,7,https://www.youtube.com/watch?v=tu5ZUt_z7Hc,ゼンタングル®︎タングル・ブレイズ,ブレイズ
﻿A little heart ステップアウト１、２,8,https://www.youtube.com/watch?v=2sGbRFwwgfg,ゼンタングル®︎タングル・ムーカ,ムーカ
﻿A little heart ステップアウト１、２,9,https://www.youtube.com/watch?v=m_rQ-fbCHrU,ゼンタングル®︎タングル・ビービー,ビービー
﻿A little heart ステップアウト１、２,10,https://www.youtube.com/watch?v=rpzijwCL0MI,ゼンタングル®︎タングル・ベガ,ベガ
﻿A little heart ステップアウト１、２,11,https://www.youtube.com/watch?v=MFDlRFTd738,ゼンタングル®︎タングル・ジップ,ジップ
﻿A little heart ステップアウト１、２,12,https://www.youtube.com/watch?v=Q5QewIt8VJY,ゼンタングル®︎タングル・アブリアル,アブリアル
﻿A little heart ステップアウト１、２,13,https://www.youtube.com/watch?v=q7JrP3Ylxkg,ゼンタングル®︎タングル・ネース,ネース
ステップアウト３,1,https://www.youtube.com/watch?v=QhnatQrW8n8,ゼンタングル®︎タングル・ディングスプラッツ,ディングスプラッツ
ステップアウト３,2,https://www.youtube.com/watch?v=rVlXoPUs-rM,ゼンタングル®︎タングル・フローズ,フローズ
ステップアウト３,3,https://www.youtube.com/watch?v=Iu0CodfZ1IA,ゼンタングル®︎タングル・スネイル,スネイル
ステップアウト３,4,https://www.youtube.com/watch?v=xeadSd3UbfA,ゼンタングル®︎タングル・ティップル,ティップル
ステップアウト３,5,https://www.youtube.com/watch?v=1gZxbZ1SEbM,ゼンタングル®︎タングル・ネクトン,ネクトン
ステップアウト３,6,https://www.youtube.com/watch?v=9rjeQCXPa2g,ゼンタングル®︎タングル・セズ,セズ
ステップアウト３,7,https://www.youtube.com/watch?v=9kCTeUzoPrA,ゼンタングル®︎タングル・キーコ,キーコ
ステップアウト３,8,https://www.youtube.com/watch?v=0f84youdv94,ゼンタングル®︎タングル・オーリク,オーリク
ステップアウト３,9,https://www.youtube.com/watch?v=isyTrVswcMw,ゼンタングル®︎タングル・シャタック,シャタック
ステップアウト３,10,https://www.youtube.com/watch?v=JVRnNpOkJFg,ゼンタングル®︎タングル・ドゥーダ,ドゥーダ
ステップアウト３,11,https://www.youtube.com/watch?v=eq4yhEFpOZE,ゼンタングル®︎タングル・ポークルート・ポークリーフ,ポークルート・ポークリーフ
ステップアウト３,12,https://www.youtube.com/watch?v=bJNN3ECA74s,ゼンタングル®タングル・フラックス,フラックス
ステップアウト４,1,https://www.youtube.com/watch?v=tJsBXWyhXR4,ゼンタングル®︎タングル・ロカー,ロカー
ステップアウト４,2,https://www.youtube.com/watch?v=A6uJV1qfxP8,ゼンタングル®︎タングル・ゼニス,ゼニス
ステップアウト４,3,https://www.youtube.com/watch?v=UdVzYNOs6Gs,ゼンタングル®︎タングル・スカラボー,スカラボー
ステップアウト４,4,https://www.youtube.com/watch?v=kB0jrUbfQT4,ゼンタングル®︎タングル・ヌームリパス,ヌームリパス
ステップアウト４,5,https://www.youtube.com/watch?v=7jmElfvYytw,ゼンタングル®︎タングル・ジューク,ジューク
ステップアウト４,6,https://www.youtube.com/watch?v=DjyUvFN8agw,ゼンタングル®︎タングル・トートゥーカ,トートゥーカ
ステップアウト４,7,https://www.youtube.com/watch?v=NwI3h9hvCtE,ゼンタングル®︎タングル・フルークス,フルークス
ステップアウト４,8,https://www.youtube.com/watch?v=-SWKLRpSpIY,ゼンタングル®︎タングル・タグ,タグ
ステップアウト４,9,https://www.youtube.com/watch?v=0EK-HtYGaeE,ゼンタングル®︎タングル・マンチン,マンチン
ステップアウト４,10,https://www.youtube.com/watch?v=h4p7Otdxyyc,ゼンタングル®︎タングル・イクソラス,イクソラス
ステップアウト４,11,https://www.youtube.com/watch?v=2qmoP3Iooz8,ゼンタングル®︎タングル・アクアフルー,アクアフルー
ステップアウト４,12,https://www.youtube.com/watch?v=HYzcZdYEv4Q,ゼンタングル®︎タングル・ミステリア,ミステリア
ステップアウト４,13,https://www.youtube.com/watch?v=Ay_zBIAzBC0,ゼンタングル®︎タングル・ナイツブリッジ,ナイツブリッジ
ステップアウト５,1,https://www.youtube.com/watch?v=8QZ8hQizs7Y,ゼンタングル®︎タングル・エコイズム,エコイズム
ステップアウト５,2,https://www.youtube.com/watch?v=RzTdLnsTc7U,ゼンタングル®︎タングル・ジェティーズ,ジェティーズ
ステップアウト５,3,https://www.youtube.com/watch?v=_vypIn40iLM,ゼンタングル®︎タングル・サーキタル,サーキタル
ステップアウト５,4,https://www.youtube.com/watch?v=muH_M7Uznug,ゼンタングル®︎タングル・スプリンクル,スプリンクル
ステップアウト５,5,https://www.youtube.com/watch?v=EzmXd4PndOo,ゼンタングル®︎タングル・セドグリング,セドグリング
ステップアウト５,6,https://www.youtube.com/watch?v=8hR0SfyhfXw,ゼンタングル®︎タングル・オーパス,オーパス
ステップアウト６,1,https://www.youtube.com/watch?v=ezGwfUT8QmQ,ゼンタングル®︎タングル・パラドックス,パラドックス
ステップアウト６,2,https://www.youtube.com/watch?v=C78v-Y-bqdE,ゼンタングル®︎タングル・ツイング,ツイング
ステップアウト６,3,https://www.youtube.com/watch?v=dCzn28wIHyk,ゼンタングル®︎タングル・スクイッド,スクイッド
ステップアウト６,4,https://www.youtube.com/watch?v=lp1e_Ot2oW0,ゼンタングル®︎タングル・ゼアフォー＆アー,ゼアフォー＆アー
ステップアウト７,1,https://www.youtube.com/watch?v=TQmDONaO7lc,ゼンタングル®︎タングル・ドローイングス,ドローイングス
ステップアウト７,2,https://www.youtube.com/watch?v=PtD5iBsGNa4,ゼンタングル®︎タングル・ラドックス,ラドックス
ステップアウト７,3,https://www.youtube.com/watch?v=MDAbWXU5V5A,ゼンタングル®︎タングル・ジョンクォル,ジョンクォル
ステップアウト７,4,https://www.youtube.com/watch?v=MKKH5PB0fIs,ゼンタングル®︎タングル・フランキー,フランキー
