,合計,"インプレッション
(IMP )","表示単価
(CPM)","クリック数
(CTs)","クリック単価
(CPC)","クリック率
(CTR)","消化金額
(COST)","LINE登録数
LP1","LINE登録数
LP2","LINE登録数
LP3","LINE登録数
LP4","LINE登録数
LP5","LINE登録数
LP6","LINE登録数
LP7","LINE登録数
LP8","LINE登録数
LP9","LINE登録数
LP10","LINE登録数
合計(実数CV)","獲得単価
(実数CPA)",平均3日,平均7日,"登録率
(実数CVR)","説明会
お申込数","説明会単価
(CPO)","説明会
誘導率",,"管理画面登録数
(CV)","管理画面獲得単価
(CPA)","管理画面登録率
(CVR)",実数乖離,"月額4,950円(年/59,400円)",成約,成約単価,成約率,売上,ROAS
トータル,,"872,410","¥1,780","32,966",¥47,3.78%,"¥1,552,952",48,147,298,98,154,27,0,0,0,0,772,"¥2,012",,,2.34%,0,#DIV/0!,0.00%,,"1,536","¥1,011",4.66%,50.26%,目標：成約率8%,32,"¥48,530",4.15%,"¥1,900,800",122.40%
,1月,"252,011","¥1,596","8,670",¥46,3.44%,"¥402,197",1,0,70,52,76,0,0,0,0,0,199,"¥2,021",,,2.30%,0,#DIV/0!,0.00%,,439,¥916,5.06%,45.33%,,10,"¥40,220",5.03%,"¥594,000",147.69%
,2月,"213,023","¥1,716","7,029",¥52,3.30%,"¥365,468",0,0,55,39,67,1,0,0,0,0,162,"¥2,256",,,2.30%,0,#DIV/0!,0.00%,,235,"¥1,555",3.34%,68.94%,,9,"¥40,608",5.56%,"¥534,600",146.28%
,3月,"172,460","¥2,199","7,445",¥51,4.32%,"¥379,192",38,0,122,2,1,18,0,0,0,0,181,"¥2,095",,,2.43%,0,#DIV/0!,0.00%,,414,¥916,5.56%,43.72%,4/17更新(星川)→,13,"¥29,169",7.18%,"¥772,200",203.64%
,4月,"234,916","¥1,729","9,822",¥41,4.18%,"¥406,095",9,147,51,5,10,8,0,0,0,0,230,"¥1,766",,,2.34%,0,#DIV/0!,0.00%,,448,¥906,4.56%,51.34%,,,#DIV/0!,0.00%,¥0,0.00%
,5月,0,#DIV/0!,0,#DIV/0!,#DIV/0!,¥0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,,#DIV/0!,0,#DIV/0!,#DIV/0!,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,¥0,#DIV/0!
,6月,0,#DIV/0!,0,#DIV/0!,#DIV/0!,¥0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,,#DIV/0!,0,#DIV/0!,#DIV/0!,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,¥0,#DIV/0!
,7月,0,#DIV/0!,0,#DIV/0!,#DIV/0!,¥0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,,#DIV/0!,0,#DIV/0!,#DIV/0!,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,¥0,#DIV/0!
,8月,0,#DIV/0!,0,#DIV/0!,#DIV/0!,¥0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,,#DIV/0!,0,#DIV/0!,#DIV/0!,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,¥0,#DIV/0!
,9月,0,#DIV/0!,0,#DIV/0!,#DIV/0!,¥0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,,#DIV/0!,0,#DIV/0!,#DIV/0!,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,¥0,#DIV/0!
,10月,0,#DIV/0!,0,#DIV/0!,#DIV/0!,¥0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,,#DIV/0!,0,#DIV/0!,#DIV/0!,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,¥0,#DIV/0!
,11月,0,#DIV/0!,0,#DIV/0!,#DIV/0!,¥0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,,#DIV/0!,0,#DIV/0!,#DIV/0!,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,¥0,#DIV/0!
,12月,0,#DIV/0!,0,#DIV/0!,#DIV/0!,¥0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,,#DIV/0!,0,#DIV/0!,#DIV/0!,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,¥0,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta広告,2026年,FB管理画面,自動計算,FB管理画面,自動計算,自動計算,FB管理画面,手動,手動,手動,手動,手動,手動,手動,手動,手動,手動,自動計算,自動計算,自動計算,自動計算,自動計算,手動,自動計算,自動計算,手動,,,,,,,,,,
No.,日付,"インプレッション
(IMP )","表示単価
(CPM)","クリック数
(CTs)","クリック単価
(CPC)","クリック率
(CTR)","消化金額
(COST)","LINE登録数
LP1","LINE登録数
LP2","LINE登録数
LP3","LINE登録数
LP4","LINE登録数
LP5","LINE登録数
LP6","LINE登録数
LP7","LINE登録数
LP8","LINE登録数
LP9","LINE登録数
LP10","LINE登録数
合計(実数CV)","獲得単価
(実数CPA)",平均3日,平均7日,"登録率
(実数CVR)","説明会
お申込数","説明会単価
(CPO)","説明会
誘導率",誘導広告ID,"管理画面登録数
(CV)","管理画面獲得単価
(CPA)","管理画面登録率
(CVR)",,,,,,,
1,1月1日(木) ,"11,028","¥1,145",285,¥44,2.58%,"¥12,628",0,0,0,3,0,0,,,,,3,"¥4,209",,,1.05%,,#DIV/0!,0.00%,,14,¥902,4.91%,,,,,,,
2,1月2日(金) ,"10,030","¥1,204",303,¥40,3.02%,"¥12,078",0,0,3,1,2,0,,,,,6,"¥2,013",,,1.98%,,#DIV/0!,0.00%,,13,¥929,4.29%,,,,,,,
3,1月3日(土) ,"10,493","¥1,296",337,¥40,3.21%,"¥13,599",0,0,3,4,3,0,,,,,10,"¥1,360","¥2,016",,2.97%,,#DIV/0!,0.00%,,18,¥756,5.34%,,,,,,,
4,1月4日(日) ,"10,645","¥1,330",356,¥40,3.34%,"¥14,159",0,0,0,3,4,0,,,,,7,"¥2,023","¥1,732",,1.97%,,#DIV/0!,0.00%,,15,¥944,4.21%,,,,,,,
5,1月5日(月) ,"9,001","¥1,502",318,¥43,3.53%,"¥13,518",0,0,2,3,2,0,,,,,7,"¥1,931","¥1,720",,2.20%,,#DIV/0!,0.00%,,14,¥966,4.40%,,,,,,,
6,1月6日(火) ,"8,452","¥1,529",306,¥42,3.62%,"¥12,927",0,0,2,3,3,0,,,,,8,"¥1,616","¥1,846",,2.61%,,#DIV/0!,0.00%,,13,¥994,4.25%,,,,,,,
7,1月7日(水) ,"8,201","¥1,538",242,¥52,2.95%,"¥12,615",0,0,2,0,2,0,,,,,4,"¥3,154","¥2,056","¥2,034",1.65%,,#DIV/0!,0.00%,,8,"¥1,577",3.31%,,,,,,,
8,1月8日(木) ,"8,167","¥1,551",239,¥53,2.93%,"¥12,670",0,0,1,3,3,0,,,,,7,"¥1,810","¥2,011","¥1,869",2.93%,,#DIV/0!,0.00%,,12,"¥1,056",5.02%,,,,,,,
