■契約プランの推移,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,合計,フリー,"内メイン
アカウント","内サブ
アカウント",プロ,内お試し,内、有料,ゴールド,内、お試し,内、有料,,,,,,,,,,,,,,,,,,,,
2020年2月,53,48,48,,3,3,,2,2,,,,,,,,,,,,,,,,,,,,,
2020年3月,193,182,182,,6,6,,5,5,,,,,,,,,,,,,,,,,,,,,
2020年4月,339,319,319,,15,12,3,5,5,0,,,,,,,,,,,,,,,,,,,,
2020年5月,549,520,520,,25,21,4,4,1,3,,,,,,,,,,,,,,,,,,,,
2020年6月,708,679,679,,25,19,6,4,0,4,,,,,,,,,,,,,,,,,,,,
2020年7月,914,875,863,12,32,22,10,7,3,4,,,,,,,,,,,,,,,,,,,,
2020年8月,1171,1024,995,29,82,68,14,65,58,7,,,,,,,,,,,,,,,,,,,,
2020年9月,1381,1233,1194,39,87,67,20,61,53,8,,,,,,,,,,,,,,,,,,,,
2020年10月,1637,1492,1445,47,91,65,26,54,46,8,,,,,,,,,,,,,,,,,,,,
2020年11月,1931,1765,1705,60,131,59,72,35,14,21,,,,,,,,,,,,,,,,,,,,
2020年12月,2154,1965,1900,65,166,81,85,23,5,18,,,,,,,,,,,,,,,,,,,,
2021年1月,2487,2230,2149,81,227,138,89,30,8,22,,,,,,,,,,,,,,,,,,,,
2021年2月,2864,2534,2429,105,289,200,89,41,20,21,,,,,,,,,,,,,,,,,,,,
2021年3月,3255,2842,2662,180,363,253,110,50,31,19,,,,,,,,,,,,,,,,,,,,
2021年4月,3732,3213,2883,330,463,328,135,56,37,19,,,,,,,,,,,,,,,,,,,,
2021年5月,4169,3551,3145,406,552,396,156,66,47,19,,,,,,,,,,,,,,,,,,,,
2021年6月,4600,3963,3477,486,558,380,178,79,59,20,,,,,,,,,,,,,,,,,,,,
2021年7月,5037,4349,3766,583,587,408,179,101,81,20,,,,,,,,,,,,,,,,,,,,
2021年8月,5502,4737,4093,644,640,448,192,125,105,20,,,,,,,,,,,,,,,,,,,,
2021年9月,6061,5228,4457,771,709,497,212,124,101,23,,,,,,,,,,,,,,,,,,,,
2021年10月,6667,5785,4885,900,768,524,244,114,87,27,,,,,,,,,,,,,,,,,,,,
2021年11月,7185,6332,5330,1002,731,472,259,122,92,30,,,,,,,,,,,,,,,,,,,,
2021年12月,7708,6907,5783,1124,679,393,286,122,84,38,,,,,,,,,,,,,,,,,,,,
2022年1月,8338,7554,6310,1244,665,337,328,119,82,37,,,,,,,,,,,,,,,,,,,,
2022年2月,9142,8233,6804,1429,770,449,321,139,98,41,,,,,,,,,,,,,,,,,,,,
2022年3月,9984,8880,7208,1672,934,579,355,170,120,50,,,,,,,,,,,,,,,,,,,,
2022年4月,10724,9509,7594,1915,1038,658,380,177,128,49,,,,,,,,,,,,,,,,,,,,
2022年5月,11509,10232,8086,2146,1093,643,450,184,117,67,,,,,,,,,,,,,,,,,,,,
2022年6月,12334,11024,8579,2445,1124,624,500,186,120,66,,,,,,,,,,,,,,,,,,,,
2022年7月,13148,11790,9071,2719,1143,601,542,215,147,68,,,,,,,,,,,,,,,,,,,,
2022年8月,13947,12572,9570,3002,1157,584,573,218,139,79,,,,,,,,,,,,,,,,,,,,
2022年9月,14814,13363,10078,3285,1235,642,593,216,133,83,,,,,,,,,,,,,,,,,,,,
2022年10月,15601,14146,10571,3575,1242,584,658,213,136,77,,,,,,,,,,,,,,,,,,,,
2022年11月,16412,14867,11046,3821,1339,674,665,206,119,87,,,,,,,,,,,,,,,,,,,,
2022年12月,17218,15664,11565,4099,1343,593,750,211,127,84,,,,,,,,,,,,,,,,,,,,
2023年1月,18129,16499,12066,4433,1403,691,712,227,133,94,,,,,,,,,,,,,,,,,,,,
2023年2月,19006,17318,12608,4710,1457,771,686,231,149,82,,,,,,,,,,,,,,,,,,,,
2023年3月,20068,18302,13202,5100,1522,751,771,244,144,100,,,,,,,,,,,,,,,,,,,,
2023年4月,21085,19231,13730,5501,1613,784,829,241,143,98,,,,,,,,,,,,,,,,,,,,
2023年5月,22226,20334,14382,5952,1639,727,912,253,139,114,,,,,,,,,,,,,,,,,,,,
2023年6月,23211,21342,15012,6330,1625,761,864,244,135,109,,,,,,,,,,,,,,,,,,,,
2023年7月,24270,22353,15640,6713,1651,763,888,266,142,124,,,,,,,,,,,,,,,,,,,,
2023年8月,25193,23227,16209,7018,1698,762,936,268,136,132,,,,,,,,,,,,,,,,,,,,
2023年9月,26218,24240,16885,7355,1695,774,921,283,155,128,,,,,,,,,,,,,,,,,,,,
2023年10月,27211,25255,17560,7695,1671,676,995,285,150,135,,,,,,,,,,,,,,,,,,,,
2023年11月,28193,26225,18168,8057,1696,712,984,272,130,142,,,,,,,,,,,,,,,,,,,,
2023年12月,28555,26539,18772,7767,1760,732,1028,256,111,145,,,,,,,,,,,,,,,,,,,,
2024年1月,28791,26770,19381,7389,1761,682,1079,260,100,160,,,,,,,,,,,,,,,,,,,,
2024年2月,29641,27614,19971,7643,1756,732,1024,271,120,151,,,,,,,,,,,,,,,,,,,,
2024年3月,30499,28429,20551,7878,1800,666,1134,270,109,161,,,,,,,,,,,,,,,,,,,,
2024年4月,31328,29244,21116,8128,1814,727,1087,270,112,158,,,,,,,,,,,,,,,,,,,,
2024年5月,32069,29974,21729,8245,1827,667,1160,268,101,167,,,,,,,,,,,,,,,,,,,,
2024年6月,32999,30888,22301,8587,1831,727,1104,280,115,165,,,,,,,,,,,,,,,,,,,,
2024年7月,34003,31890,22884,9006,1852,708,1144,261,84,177,,,,,,,,,,,,,,,,,,,,
2024年8月,34891,32780,23455,9325,1835,665,1170,276,97,179,,,,,,,,,,,,,,,,,,,,
2024年9月,35928,33794,24034,9760,1845,698,1147,289,107,182,,,,,,,,,,,,,,,,,,,,
2024年10月,36862,34675,24600,10075,1870,672,1198,317,119,198,,,,,,,,,,,,,,,,,,,,
2024年11月,37675,35570,25174,10396,1799,643,1156,306,101,205,,,,,,,,,,,,,,,,,,,,
2024年12月,38447,36493,25847,10646,1665,436,1229,289,81,208,,,,,,,,,,,,,,,,,,,,
2025年1月,39400,37415,26485,10930,1698,412,1286,287,76,211,,,,,,,,,,,,,,,,,,,,
2025年2月,40288,38219,27027,11192,1758,597,1161,311,131,180,,,,,,,,,,,,,,,,,,,,
2025年3月,41258,39158,27656,11502,1785,483,1302,315,105,210,,,,,,,,,,,,,,,,,,,,
2025年4月,42336,40167,28318,11849,1833,558,1275,336,124,212,,,,,,,,,,,,,,,,,,,,
2025年5月,43781,41442,29163,12279,1984,763,1221,355,152,203,,,,,,,,,,,,,,,,,,,,
2025年6月,44719,42391,29844,12547,1981,634,1347,347,120,227,,,,,,,,,,,,,,,,,,,,
2025年7月,45560,43290,30563,12727,1929,492,1437,341,109,232,,,,,,,,,,,,,,,,,,,,
2025年8月,46463,44202,31207,12995,1937,420,1517,324,82,242,,,,,,,,,,,,,,,,,,,,
2025年9月,47336,45099,31820,13279,1919,415,1504,318,93,225,,,,,,,,,,,,,,,,,,,,
2025年10月,48446,46188,32371,13817,1943,373,1570,315,76,239,,,,,,,,,,,,,,,,,,,,
2025年11月,49324,47097,32900,14197,1920,384,1536,307,80,227,,,,,,,,,,,,,,,,,,,,
2025年12月,50288,48102,33385,14717,1877,286,1591,309,73,236,,,,,,,,,,,,,,,,,,,,
2026年1月,51813,49682,33916,15766,1828,258,1570,303,57,246,,,,,,,,,,,,,,,,,,,,
2026年2月,52619,50508,34387,16121,1820,357,1463,291,74,217,,,,,,,,,,,,,,,,,,,,
2026年3月,53223,51115,34901,16214,1810,260,1550,298,60,238,4月3日,,,,,,,,,,,,,,,,,,,
前月比,,,514,,-10,-97,87,7,-14,21,,,,,,,,,,,,,,,,,,,,
,合計,フリー,"内メイン
アカウント","内サブ
アカウント",プロ,内お試し,内、有料,ゴールド,内、お試し,内、有料,,,,,,,,,,,,,,,,,,,,
