,,7days,×4,28days,7days,28days,TREND,7days,×4,28days,28days,28days,7days,×4,28days,,,,,,,,,,,,,,
,,CV,,,,CV後連携率,,アカウント連携,,,CPA(報酬単価),アカウント連携CPA,広告費(orアフィリ報酬総額),,,,,,,,,,,,,,,,
,アフィリ,186,775,731,42%,47%,↓,78,312,341,"¥5,559","¥11,916.42","¥790,000","¥3,160,000","¥4,063,500",,,,2026年1月,,,,プロライン月商5000万へ,,,,,,
,hunnyでPPC,68,242,280,38%,46%,↓,26,104,130,"¥3,349","¥7,213.97","¥198,391","¥793,563","¥937,816",,,,,,,,,,,,,,
,デジアスでメタ,0,0,1,#DIV/0!,100%,#DIV/0!,0,0,1,¥0,¥0.00,¥0,¥0,¥0,,,,,,,,,,,,,,
,動画広告IMK,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,0,1,#DIV/0!,¥0.00,¥0,¥0,¥0,,,,,,,,プロライン月商１億はLTVをアップさせることで達成,,,,,,
,TOTAL,254,1017,1012,41%,47%,↓,104,416,473,"¥4,942","¥10,573.61","¥988,391","¥3,953,563","¥5,001,316",,◀合計,,,,,,,,,,,,
,年間,,,12144,,,,1248,4992,5676,,,"¥11,860,689","¥47,442,755","¥60,015,797",,◀×12,,,,,,,,,,,,
,,,,,,,,,,▲理論MAX：毎月１０００、年間１２０００,,,,,,,,,,,13.46%,,,,,,,,
,,,,,,,,,,50.96%,,43.27%,50.00%,,34.62%,,,希望者４割を６割に増やそう,9.62%,,目標１６０,,,,,,8割がメンター経由,,
,,売上[万円],広告費,コンサル人件費,粗利,サーバー,固定費,利益,アカウント連携,無料コンサル着座,有料コンサル着座,お試し,10ステップ合格数,b-1 2回目数,b-1開始,b-1見た,メンター希望,メンター予約,メンター体験,,4つDL,,有料会員or支払い,,b-2開始,b-2見終わった,Aコース,,販売率
,7days,457,98,36.85,322.15,45,125,152.15,104,53,11,45,52,,36,32,11,8,10,,14,,236,,38,29,1,,0.96
,×4,1828,392,147.4,1288.6,180,500,608.6,416,212,44,180,208,0,144,128,44,32,40,,56,,944,,152,116,4,,0.96
,28days,1961,500,160.12,1300.88,180,500,620.88,473,200,57,208,169,,132,126,55,42,41,,46,,1089,,128,108,11,,2.33
,TREND,↓,↓,↓,↓,→,→,↓,↓,↑,↓,↓,↑,→,↑,↑,↓,,↓,,↑,,↓,,,,↓,,↓
,理想,5000,1500,333,3167,330,700,2137,1000,500,100,500,400,,300,,180,,150,,150,,1800,,,,80,,8.00
,,,,,,,,,,0.5,,,到達400,,"勉強会から120、
普通にたどり着いた180",,,,メンター希望の83%くらいが予約してる,,Aコース43、有料120,,,,,,,,
,勉強会,,,ループで止まった人全員勉強会,,,ループで止まった人全員勉強会,,,,,お試しするのに必要→勉強会へ,10ステップ理解→勉強会へ,,,,,,,,ループで止まった人全員勉強会,,,,,,まだなら全員・・・勉強会へ,,
,,,,,,,,,,,,,挫折したら構築代行→勉強会へ,,,,,,,,,,,,,,,,
,相談会,,,ループで止まった人中級は全員スケールアップ相談会,,,ループで止まった人中級は全員スケールアップ相談会,,更に、中級は全員スケールアップ相談会,,,更に、中級は全員スケールアップ相談会,更に、中級は全員スケールアップ相談会,,,,,,,,ループで止まった人中級は全員スケールアップ相談会,,,,,,更に、中級は全員スケールアップ相談会,,
,,,,,,,,,※この時、コンサルタントに報酬500円払う,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
